,Question,Statement
0,Je veux les coassurances de chaques groupe,"['GROUPE', 'CLASSE', 'Type_de_list_EN', 'Type_de_liste', 'Nom_Anglais', 'Nom_Français', 'COASSURANCE_MALAIDE', 'COMPTE', 'DATE_EFFECTIVE_MALADIE', 'Description_Anglais', 'Description_Français']"
1,Donne moi les coassurances,"['GROUPE', 'CLASSE', 'Type_de_list_EN', 'Type_de_liste', 'Nom_Anglais', 'Nom_Français', 'COASSURANCE_MALAIDE', 'COMPTE', 'DATE_EFFECTIVE_MALADIE', 'Description_Anglais', 'Description_Français']"
2,Quel est le pourçentage à payé pour les assurées de chaque groupe,"['GROUPE', 'CLASSE', 'Type_de_list_EN', 'Type_de_liste', 'Nom_Anglais', 'Nom_Français', 'COASSURANCE_MALAIDE', 'COMPTE', 'DATE_EFFECTIVE_MALADIE', 'Description_Anglais', 'Description_Français']"
3,Je veux les coassurance,"['GROUPE', 'CLASSE', 'Type_de_list_EN', 'Type_de_liste', 'Nom_Anglais', 'Nom_Français', 'COASSURANCE_MALAIDE', 'COMPTE', 'DATE_EFFECTIVE_MALADIE', 'Description_Anglais', 'Description_Français']"
4,coassurance,"['GROUPE', 'CLASSE', 'Type_de_list_EN', 'Type_de_liste', 'Nom_Anglais', 'Nom_Français', 'COASSURANCE_MALAIDE', 'COMPTE', 'DATE_EFFECTIVE_MALADIE', 'Description_Anglais', 'Description_Français']"
5,j'aimerais voir les coassurances de tous les groupes du as400,"['GROUPE', 'CLASSE', 'Type_de_list_EN', 'Type_de_liste', 'Nom_Anglais', 'Nom_Français', 'COASSURANCE_MALAIDE', 'COMPTE', 'DATE_EFFECTIVE_MALADIE', 'Description_Anglais', 'Description_Français']"
6,J'aimerais voir tout les regroupement possibles des coassurances,"['GROUPE', 'CLASSE', 'Type_de_list_EN', 'Type_de_liste', 'Nom_Anglais', 'Nom_Français', 'COASSURANCE_MALAIDE', 'COMPTE', 'DATE_EFFECTIVE_MALADIE', 'Description_Anglais', 'Description_Français']"
7,Je veux voir tous les coassurances du groupe 4710,"['GROUPE', 'CLASSE', 'Type_de_list_EN', 'Type_de_liste', 'Nom_Anglais', 'Nom_Français', 'COASSURANCE_MALAIDE', 'COMPTE', 'DATE_EFFECTIVE_MALADIE', 'Description_Anglais', 'Description_Français']"
8,Je veux les coassurances de chaques groupe,"['GROUPE', 'CLASSE', 'Type_de_list_EN', 'Type_de_liste', 'Nom_Anglais', 'Nom_Français', 'COASSURANCE_MALAIDE', 'COMPTE', 'DATE_EFFECTIVE_MALADIE', 'Description_Anglais', 'Description_Français']"
9,Donne moi les franchises,"['GROUPE', 'CLASSE', 'Type_de_list_EN', 'Type_de_liste_FR', 'Nom_Anglais', 'Nom_Français', 'DATE_EFFECTIVE_MALADIE', 'FRANCHISE_COMMUNE_MALADIE', 'FRANCHISE_COMMUNE_VUE', 'FRANCHISE_F_N_TICKET', 'FRANCHISE_INDIVIDUELLE_MALADIE', 'FRANCHISE_INDIVIDUELLE_VUE', 'FRANCHISE_ASSURE_CONTRAT_MALADIE', 'FRANCHISE_ASSURE_APPLIQUEE_MALADIE', 'FRANCHISE_FAMILLE_CONTRAT_MALADIE', 'FRANCHISE_FAMILLE_APPLIQUEE_MALADIE', 'FRANCHISE_COUPLE_CONTRAT_MALADIE', 'FRANCHISE_COUPLE_APPLIQUEE_MALADIE', 'FRANCHISE_MONO_CONTRAT_MALADIE', 'FRANCHISE_MONO_APPLIQUEE_MALADIE', 'FRANCHISE_ASSURE_CONTRAT_VUE', 'FRANCHISE_ASSURE_APPLIQUEE_VUE', 'FRANCHISE_FAMILLE_APPLIQUEE_VUE', 'FRANCHISE_COUPLE_CONTRAT_VUE', 'FRANCHISE_COUPLE_APPLIQUEE_VUE', 'FRANCHISE_MONO_CONTRAT_VUE', 'FRANCHISE_MONO_APPLIQUEE_VUE', 'COMPTE', 'Merge', 'Concat_FRC', 'Description_Anglais', 'Description_Français']"
